precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GREAVU SORIN-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","PALER GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNGUR NICOLAE-ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","MOGA GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","NEMEŞ-VINTILĂ HOREA-ONUC-PARTIDUL MIȘCAREA POPULARĂ-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL BREAZA",377,LISA,41346,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:27",563,531,0,8,24,412,380,0,8,24,398,14,615,203,67,66,6,242,17
8,BRAŞOV,"CĂMINUL CULTURAL LISA",376,LISA,41346,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:59",925,908,0,6,11,587,570,0,6,11,555,32,1000,413,91,65,141,224,34
