precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
33,SĂLAJ,"AFTER SCHOOL CHECHIŞ",79,BĂLAN,140146,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:12",548,495,0,36,17,381,328,0,36,17,367,14,550,169,153,7,115,31,4,48,1,1,7
33,SĂLAJ,"AFTER SCHOOL ȘĂRMĂȘAG",287,ŞĂRMĂŞAG,142881,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:30:13",836,816,1,6,13,497,477,1,6,13,476,21,900,403,24,425,17,3,3,2,0,1,1
33,SĂLAJ,"BAZA SPORTIVĂ",63,"ORAŞ ŞIMLEU SILVANIEI",139884,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:27:34",749,744,0,5,0,443,438,0,5,0,429,14,855,401,302,12,67,15,15,13,0,1,4
33,SĂLAJ,"CAMIN CULTURAL",159,GÂLGĂU,141134,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:07",390,366,0,18,6,221,197,0,18,6,205,16,400,179,134,2,33,24,6,4,1,0,1
33,SĂLAJ,"CAMIN CULTURAL",157,GÂLGĂU,141134,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:56:01",109,97,0,8,4,109,97,0,8,4,104,5,160,51,61,2,29,2,2,8,0,0,0
33,SĂLAJ,"CĂMIN CULTURAL",284,ŞAMŞUD,142854,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:37",899,859,1,0,39,543,504,1,0,38,523,20,968,424,5,502,13,1,0,0,1,0,1
33,SĂLAJ,"CĂMIN CULTURAL",83,BĂNIŞOR,140208,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:55:45",477,473,0,3,1,292,288,0,3,1,279,13,520,228,46,1,166,28,4,31,1,0,2
33,SĂLAJ,"CĂMIN CULTURAL",243,PERICEI,142284,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:03:37",311,291,0,9,11,311,291,0,9,11,295,16,600,289,203,6,40,15,9,18,2,1,1
33,SĂLAJ,"CAMIN CULTURAL ALEUS",168,HALMĂŞD,141312,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:06:16",230,214,0,9,7,163,147,0,9,7,150,13,250,87,70,2,62,6,2,6,0,1,1
33,SĂLAJ,"CAMIN CULTURAL BAN, NR. 55",84,BĂNIŞOR,140208,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:11",349,335,1,11,2,210,197,0,11,2,196,14,400,190,42,3,81,15,20,32,0,0,3
