precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRIFU COSTEL-PARTIDUL SOCIAL DEMOCRAT-voturi","VESA IOAN-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
2,ARAD,"PRIMĂRIA COMUNEI CERMEI",230,CERMEI,10373,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:23:38",1482,1438,3,6,35,918,876,1,6,35,869,49,1630,712,78,791
2,ARAD,"PUNCT DE LUCRU AL PRIMĂRIEI",231,CERMEI,10373,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:09:05",695,676,0,8,11,384,365,0,8,11,365,19,768,384,25,340
