precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞUTA LUIZA-MIHAELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SMARANDACHE DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢIULESCU MIHAIL-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"ȘCOALA CĂCIULĂTEȘTI",334,DOBREŞTI,72098,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:06:16",414,382,0,12,20,244,212,0,12,20,227,15,450,208,8,133,86
17,DOLJ,"ȘCOALA DOBREȘTI",333,DOBREŞTI,72098,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:20:48",317,293,0,7,17,209,185,0,7,17,198,4,356,154,28,43,127
17,DOLJ,"ȘCOALA MURTA",335,DOBREŞTI,72098,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:31",656,607,0,23,26,433,384,0,23,26,422,11,700,267,25,193,204
17,DOLJ,"ȘCOALA TOCENI",336,DOBREŞTI,72098,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:23:11",478,445,0,12,21,332,299,0,12,21,304,9,500,187,7,68,229
