precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXE COSTEL-PARTIDUL NAȚIONAL LIBERAL-voturi","OSTAFICIUC MARIUS-EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COJOCARU PETRU-BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","REBENCIUC CEZAR-IOAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MOVILĂ PETRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PÂNTEA PAVEL-GHEORGHE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RĂŢOI IULIANA-PARTIDUL PRO ROMÂNIA-voturi","APOSTOLACHE ADRIAN-ŞTEFAN-PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi"
24,IAŞI,"BAZA SPORTIVĂ MULTIFUNCȚIONALĂ - ȘOROGARI",328,ARONEANU,95747,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:38:12",382,372,2,6,2,190,182,0,6,2,186,4,400,210,88,22,37,6,30,2,0,1
24,IAŞI,"BIBLIOTECĂ-CĂMIN CULTURAL ȘIPOTE",688,ŞIPOTE,99370,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:37:00",643,643,0,0,0,301,301,0,0,0,287,14,700,399,88,17,170,4,7,0,1,0
24,IAŞI,"BIBLIOTECA MATEI MILLO",671,STOLNICENI-PRĂJESCU,99165,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:39",1213,1202,1,10,0,674,663,1,10,0,649,25,1300,626,137,45,404,18,31,4,9,1
24,IAŞI,"CĂMIN CULTURAL",576,MOŢCA,98220,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:48",1526,1520,0,1,5,763,757,0,1,5,714,49,1700,937,226,74,342,28,28,2,9,5
24,IAŞI,"CĂMIN CULTURAL",577,MOŢCA,98220,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:05:30",1460,1454,0,3,3,707,701,0,3,3,653,54,1600,893,178,66,343,31,19,3,11,2
24,IAŞI,"CĂMIN CULTURAL BĂLȚAȚI",332,BĂLŢAŢI,95792,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:45:20",1677,1629,1,3,44,887,840,0,3,44,841,46,1800,877,195,76,419,31,97,7,7,9
24,IAŞI,"CĂMIN CULTURAL BERSUC DEAL",522,LESPEZI,97606,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:56:40",664,652,0,11,1,354,342,0,11,1,334,20,700,346,70,48,181,7,18,2,6,2
24,IAŞI,"CĂMIN CULTURAL BÎCU",518,IPATELE,97553,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:32",412,406,0,4,2,229,223,0,4,2,219,10,500,271,52,12,144,4,6,0,1,0
24,IAŞI,"CAMIN CULTURAL BIRNOVA",337,BÂRNOVA,95088,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:40:47",1255,1252,0,2,1,741,738,0,2,1,696,45,1400,659,254,48,149,82,117,7,12,27
24,IAŞI,"CĂMIN CULTURAL COROPCENI",370,CIORTEŞTI,96192,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:01:52",824,823,0,1,0,429,428,0,1,0,398,31,900,471,316,4,58,10,7,3,0,0
24,IAŞI,"CĂMIN CULTURAL CUZA-VODĂ",519,IPATELE,97553,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:04:24",405,395,0,4,6,229,219,0,4,6,219,10,400,171,17,7,174,4,17,0,0,0
24,IAŞI,"CĂMIN CULTURAL DOLHEȘTI",439,DOLHEŞTI,96904,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:37:49",558,542,1,7,8,300,293,0,7,0,288,12,600,300,154,9,97,1,25,0,0,2
24,IAŞI,"CĂMIN CULTURAL FORĂŞTI",479,GROPNIŢA,97321,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:53:13",431,423,0,1,7,431,423,0,1,7,234,10,500,229,46,0,169,7,6,0,0,6
