precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DINCULESCU GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","ŢOLEA GRIGORIE-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM NORMAL SĂLIŞTE",283,MALAIA,171021,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:46:02",236,230,0,3,3,168,162,0,3,3,166,2,250,82,69,97
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ MALAIA",281,MALAIA,171021,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:52:04",945,861,0,62,22,704,620,0,62,22,698,6,950,246,414,284
40,VÂLCEA,"ŞCOALA PRIMARĂ CIUNGET",282,MALAIA,171021,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:24:57",383,349,0,18,16,297,263,0,18,16,293,4,400,103,148,145
