precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","BLOCUL SUVERANIST ROMÂN-voturi","MÎRLOI GABRIEL-voturi"
17,DOLJ,"CLUB CAMIN CULTURAL DIOSTI",330,DIOŞTI,72052,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:52:15",938,903,0,6,29,550,515,0,6,29,508,38,954,408,15,118,255,9,102,9
17,DOLJ,"SCOALA GENERALA CU CLASELE I-IV RADOMIR",332,DIOŞTI,72052,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:50:48",850,812,0,8,30,515,477,0,8,30,469,43,1000,488,24,117,75,45,157,51
17,DOLJ,"SCOALA GENERALA CU CLASELE I-VIII CIOCANESTI",331,DIOŞTI,72052,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:02:23",533,500,1,6,26,342,310,0,6,26,305,37,550,208,66,35,120,11,71,2
