precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","CIORAN DORINA-voturi"
38,TULCEA,"CĂMINUL CULTURAL GRECI",121,GRECI,160430,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:07",1431,1421,3,7,0,656,649,0,7,0,624,32,1577,921,293,255,20,7,49
38,TULCEA,"ŞCOALA GIMNAZIALĂ GRECI, CORP B",122,GRECI,160430,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:33",1494,1490,1,3,0,706,703,0,3,0,672,34,1646,940,290,313,20,9,40
38,TULCEA,"ŞCOALA GIMNAZIALĂ GRECI, CORP B",123,GRECI,160430,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:35:40",1190,1178,1,9,2,523,512,0,9,2,499,24,1303,780,240,203,10,0,46
