precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BULEA LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","RISTEA VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ABALAŞEI IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
34,SIBIU,"ȘCOALA GIMNAZIALĂ CLASELE I-IV ȘURA MICĂ",370,"ŞURA MICĂ",145792,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:50",968,949,7,5,7,590,578,1,5,6,582,8,1050,460,181,333,68
34,SIBIU,"SCOALA GIMNAZIALA SURA MICA",369,"ŞURA MICĂ",145792,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:42",1341,1319,8,9,5,752,738,0,9,5,733,19,1432,680,261,404,68
34,SIBIU,"SCOALA PRIMARA RUSCIORI",371,"ŞURA MICĂ",145792,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:50",669,661,0,7,1,482,474,0,7,1,446,36,730,248,226,212,8
