precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STĂNESCU MARIAN-MIHAIL-PARTIDUL SOCIAL DEMOCRAT-voturi","BÎRLĂDEANU CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MARCU MIRCEA-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"GRĂDINIŢA DE COPII",364,VIŞINA,129898,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:51:42",1214,1141,1,6,66,795,723,0,6,66,773,22,1326,531,636,72,65
30,OLT,"GRĂDINIŢA DE COPII",363,VIŞINA,129898,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:04",1066,991,0,1,74,669,594,0,1,74,644,25,1170,501,524,66,54
