precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","CIOFÎCĂ ION-MARIAN-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","PARTIDUL VERDE-voturi"
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",32,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 20:47:12",1517,1501,11,5,0,766,761,0,5,0,755,11,1600,834,4,45,248,33,28,7,76,240,7,13,54
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",33,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:52:09",1278,1261,10,7,0,636,629,0,7,0,623,13,1400,764,9,56,179,12,16,9,62,182,3,5,90
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",31,"MUNICIPIUL TÂRGU JIU",77812,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 21:06:38",1662,1652,2,8,0,786,778,0,8,0,754,24,1800,1014,6,29,242,37,26,10,71,238,7,5,83
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",27,"MUNICIPIUL TÂRGU JIU",77812,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 22:00:13",1460,1451,4,5,0,555,550,0,5,0,532,11,1600,1045,5,33,160,12,24,13,47,197,5,4,32
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",28,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:27:44",1361,1355,1,4,1,555,550,0,4,1,547,8,1500,945,2,37,132,15,21,7,56,234,6,5,32
20,GORJ,"COLEGIUL NAȚIONAL ECATERINA TEODOROIU",26,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:02",1368,1361,0,7,0,569,562,0,7,0,554,15,1500,931,4,36,147,16,21,8,57,225,7,5,28
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",13,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:34:05",1037,1031,0,6,0,492,486,0,6,0,475,17,1200,708,3,23,123,15,17,8,65,179,4,1,37
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",12,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:58",1275,1266,2,7,0,561,554,0,7,0,542,19,1400,839,4,23,148,18,19,8,66,191,7,2,56
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",10,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:49",938,933,0,5,0,461,456,0,5,0,449,12,1100,639,2,31,139,14,20,4,45,153,5,3,33
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",11,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:29",1407,1403,0,4,0,588,584,0,4,0,575,13,1600,1012,9,36,172,21,26,8,54,192,8,2,47
20,GORJ,"COLEGIUL NAȚIONAL SPIRU HARET",9,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:14:47",1029,1020,0,9,0,468,459,0,9,0,454,14,1200,732,8,37,129,10,21,5,45,151,1,3,44
20,GORJ,"COLEGIUL NAȚIONAL TUDOR VLADIMIRESCU",3,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:46",1155,1143,1,8,3,563,552,0,8,3,552,11,1300,737,2,52,192,10,17,5,37,190,7,10,30
