precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COJOCARIU IOANA-MARIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BORDEIANU OVIDIU-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","HALIUC VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞANDRU VASILE-SORIN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL ZAMOSTEA",549,ZAMOSTEA,151246,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:15:24",1254,1216,0,11,27,691,653,0,11,27,673,18,1300,609,23,176,462,12
35,SUCEAVA,"ȘCOALA PRIMARĂ CIOMÎRTAN",550,ZAMOSTEA,151246,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:16",444,433,0,3,8,246,235,0,3,8,236,10,500,254,4,65,165,2
35,SUCEAVA,"ȘCOALA PRIMARĂ LUNCA",551,ZAMOSTEA,151246,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:56:11",196,192,0,2,2,117,113,0,2,2,111,6,220,103,5,31,72,3
35,SUCEAVA,"ȘCOALA PRIMARĂ NICANI",552,ZAMOSTEA,151246,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:45",423,411,0,0,12,242,230,0,0,12,237,5,460,218,3,52,157,25
35,SUCEAVA,"ȘCOALA PRIMARĂ TĂUTEȘTI",553,ZAMOSTEA,151246,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:49:50",157,153,0,1,3,117,113,0,1,3,114,3,203,86,3,45,62,4
