precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOBIC PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","SUBŢIRE IONICĂ-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POHANKA MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","LINŢA-DANU LUIS-IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL",283,NAIDĂŞ,53345,5,PART,PRCNCT,P,P_SV,"2024-06-10 08:58:20",231,192,2,17,20,174,137,0,17,20,170,4,206,32,3,2,103,62
11,CARAŞ-SEVERIN,"PRIMĂRIA VECHE",282,NAIDĂŞ,53345,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:20:04",725,650,0,45,30,514,439,0,45,30,504,10,706,192,4,35,297,168
