precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","SAVU REASILVIA-voturi"
31,PRAHOVA,"BIBLIOTECA ”DIMITRIE GUSTI” COMUNA POIANA-CĂMPINA",508,"POIANA CÂMPINA",131274,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:55",590,586,1,3,0,356,353,0,3,0,344,12,714,358,61,20,230,16,11,0,6
31,PRAHOVA,"CĂMINUL CULTURAL BOBOLIA",509,"POIANA CÂMPINA",131274,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:08:22",866,859,1,4,2,571,565,0,4,2,553,18,900,329,59,27,409,20,18,3,17
31,PRAHOVA,"PRIMĂRIA POIANA CÂMPINA-CLĂDIRE BIROURI",507,"POIANA CÂMPINA",131274,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:56:12",1203,1197,1,3,2,673,668,0,3,2,646,27,1300,627,74,49,419,19,67,6,12
31,PRAHOVA,"ŞCOALA GENERALĂ PIETRIŞU",510,"POIANA CÂMPINA",131274,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:15:28",461,453,0,7,1,269,261,0,7,1,259,10,500,231,35,36,164,15,6,1,2
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ ”ÎNVĂŢĂTOR ION MATEESCU” POIANA-CĂMPINA",506,"POIANA CÂMPINA",131274,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:23:50",996,989,0,5,2,587,580,0,5,2,560,27,1100,513,64,26,414,19,22,7,8
