precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CASA DE CULTURĂ BUZAD",336,BOGDA,156035,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:34",172,153,0,8,11,129,110,0,8,11,127,1,200,72,13,109,1,4
37,TIMIŞ,"SEDIUL PRIMĂRIEI BOGDA",335,BOGDA,156035,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:00",264,247,4,8,5,176,162,1,8,5,168,8,254,78,43,87,17,21
