precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRIF ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MUNTEAN DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FĂGEŢAN VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
1,ALBA,"CĂMIN CULTURAL BĂLCACIU",288,JIDVEI,5103,1,PROV,PRCNCT,P,P_SV,"2024-06-10 15:02:04",1120,1078,0,10,32,507,465,0,10,32,494,13,1218,711,372,111,11
1,ALBA,"CĂMINUL CULTURAL CĂPÎLNA DE JOS",289,JIDVEI,5103,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:47",640,605,0,9,26,414,379,0,9,26,410,4,695,281,339,62,9
1,ALBA,"CĂMINUL CULTURAL FEISA",290,JIDVEI,5103,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:53:44",618,597,0,3,18,401,380,0,3,18,396,5,653,252,318,19,59
1,ALBA,"CĂMINUL CULTURAL JIDVEI",287,JIDVEI,5103,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:09:57",1110,1068,2,3,37,597,557,0,3,37,591,6,1220,623,492,70,29
1,ALBA,"CĂMINUL CULTURAL VESEUŞ",291,JIDVEI,5103,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:47:54",779,736,0,8,35,492,449,0,8,35,473,19,803,311,454,9,10
