precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANDURU FLORENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","STOENESCU ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VILĂU SORIN-FLORENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","DRĂGOIANU DUMITRU-FORȚA DREPTEI-voturi"
17,DOLJ,"CĂMIN CULTURAL",517,URZICUŢA,74554,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:33",398,379,0,19,0,272,253,0,19,0,261,11,500,228,181,0,80,0
17,DOLJ,"SCOALA CU CLS. I-VIII BARBU IONESCU URZICUTA",516,URZICUŢA,74554,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:28:01",1897,1845,0,47,5,997,945,0,47,5,948,49,1934,937,668,6,265,9
