precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SOLOVĂSTRU DORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","COTOARĂ ION-PARTIDUL SOCIAL DEMOCRAT-voturi"
35,SUCEAVA,"SALA MICĂ A CĂMINULUI CULTURAL IASLOVĂŢ",364,IASLOVĂŢ,151442,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:52",1701,1699,0,2,0,710,708,0,2,0,682,28,1881,1171,266,416
35,SUCEAVA,"ŞCOALA GIMNAZIALA NR. 2 IASLOVAT",365,IASLOVĂŢ,151442,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:11",1606,1606,0,0,0,646,646,0,0,0,612,34,1728,1082,261,351
