precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","TRÎNC VALENTIN-voturi","CIOBANU ALINA-GABRIELA-voturi"
37,TIMIŞ,"GRADINITA PN",373,DAROVA,156623,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:30",298,285,0,4,9,220,207,0,4,9,209,11,300,80,14,93,13,8,1,20,43,5,2,10
37,TIMIŞ,"SCOALA GIMNAZIALA COMUNA DAROVA",372,DAROVA,156623,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:38:35",1807,1760,3,18,26,897,850,3,18,26,862,35,1900,1003,75,198,88,22,35,245,6,66,27,100
37,TIMIŞ,"SCOALA PRIMARA",374,DAROVA,156623,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:35",674,646,0,8,20,489,461,0,8,20,454,35,800,311,49,212,24,94,5,52,6,4,3,5
