precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONSTANTIN CRISTINEL-CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IONESCU LIVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","PETRE DORINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHALCEA MIHAELA-PARTIDUL S.O.S. ROMÂNIA-voturi"
10,BUZĂU,"CENTRU EDUCAȚIONAL MULTIFUNCȚIONAL ”ÎMPREUNĂ”",287,MIHĂILEŞTI,47578,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:29",947,894,0,8,45,591,538,0,8,45,568,23,1031,440,36,102,420,10
10,BUZĂU,"ŞCOALA PRIMARA MĂRGINEANU",288,MIHĂILEŞTI,47578,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:24",672,643,0,8,21,448,419,0,8,21,427,21,725,277,82,41,298,6
