precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL OAMENILOR TINERI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
7,BOTOŞANI,"CLĂDIRE ȘCOALĂ(GRĂDINIȚĂ) SATU NOU",106,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:13:54",692,685,0,7,0,332,325,0,7,0,325,7,800,468,7,133,28,133,10,2,12
7,BOTOŞANI,"CLĂDIRE ȘCOALĂ LOTURI ENESCU",107,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:57",361,354,0,7,0,184,177,0,7,0,181,3,400,216,1,108,14,45,3,5,5
7,BOTOŞANI,"COLEGIUL NAȚIONAL ”GRIGORE GHICA” DOROHOI",86,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:59:51",1247,1241,1,5,0,542,536,1,5,0,535,7,1402,860,11,303,44,124,11,32,10
7,BOTOŞANI,"COLEGIUL NAȚIONAL”GRIGORE GHICA”DOROHOI",87,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:42:14",1026,1018,1,6,1,432,425,0,6,1,419,13,1200,768,7,237,22,122,6,15,10
7,BOTOŞANI,"COLEGIUL NAȚIONAL ”GRIGORE GHICA ”DOROHOI-CORP II",92,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:21:47",1124,1109,0,13,2,455,440,0,13,2,426,15,1200,745,6,249,27,103,12,16,13
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ” ALBA CA ZĂPADA” DOROHOI",101,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:35:18",1056,1054,0,2,0,368,366,0,2,0,353,15,1203,835,7,196,34,81,9,13,13
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT”ALBA CA ZĂPADA” DOROHOI",102,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:05:14",1278,1273,0,5,0,544,539,0,5,0,530,14,1387,843,3,323,35,117,8,22,22
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.6 DOROHOI(PREȘCOLAR)",88,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:39:10",1668,1660,0,8,0,739,731,0,8,0,720,19,1800,1061,14,400,55,177,21,32,21
7,BOTOŞANI,"LICEUL ”REGINA MARIA” DOROHOI",98,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:11:31",1142,1132,0,8,2,519,509,0,8,2,509,10,1300,781,4,317,42,96,8,23,19
7,BOTOŞANI,"LICEUL ”REGINA MARIA” DOROHOI",97,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:44:04",1304,1295,2,7,0,561,554,0,7,0,552,9,1489,928,2,338,49,110,11,16,26
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA ”DOROHOI",103,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:57",802,779,4,7,12,337,318,0,7,12,332,5,900,563,6,200,25,80,7,9,5
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” DOROHOI",96,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:43:39",1333,1332,0,1,0,506,505,0,1,0,490,16,1494,988,5,248,36,135,12,21,33
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA” DOROHOI",95,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:18:49",1046,1041,1,4,0,373,369,0,4,0,361,12,1102,729,3,215,31,77,10,10,15
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ” DIMITRIE ROMANESCU” DOROHOI",104,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:42:24",911,906,1,4,0,413,409,0,4,0,400,13,993,580,2,198,29,129,10,14,18
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE ROMANESCU” DOROHOI",105,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:48:03",1120,1111,0,5,4,448,439,0,5,4,426,22,1200,752,5,247,28,106,4,14,22
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” DOROHOI",100,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:50:30",1144,1137,0,7,0,433,426,0,7,0,423,10,1292,859,7,264,25,83,10,16,18
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” DOROHOI",99,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:49:29",1256,1250,0,6,0,475,469,0,6,0,465,10,1399,924,6,246,49,125,4,16,19
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ NR.1 DOROHOI",91,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:23:12",1169,1161,1,7,0,497,490,0,7,0,481,16,1300,803,8,267,37,125,7,25,12
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”SPIRU HARET” DOROHOI",89,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:16",1312,1301,4,7,0,533,526,0,7,0,517,16,1409,876,9,295,43,122,10,26,12
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ”SPIRU HARET” DOROHOI",90,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:25:27",910,902,1,6,1,412,405,0,6,1,396,16,993,581,16,212,29,87,5,29,18
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ” ȘTEFAN CEL MARE” DOROHOI",94,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:15:18",971,971,0,0,0,435,435,0,0,0,423,12,1100,665,9,205,35,124,9,18,23
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ ”ȘTEFAN CEL MARE” DOROHOI",93,"MUNICIPIUL DOROHOI",36006,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:30:04",1036,1024,4,5,3,387,379,0,5,3,377,10,1106,719,5,224,23,86,8,20,11
