precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL DIN SATUL CRÂNGU",151,CRÂNGU,152662,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:08:04",948,832,0,59,57,464,348,0,59,57,455,7,902,440,407,48
36,TELEORMAN,"SEDIUL ADMINISTRATIV DIN SATUL SECARA",152,CRÂNGU,152662,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:50:11",271,223,0,20,28,203,155,0,20,28,198,5,270,67,135,63
