precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
29,NEAMŢ,"SCOALA GIMNAZIALA BALUSESTI",315,ICUŞEŞTI,123013,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:40:12",827,824,0,2,1,371,368,0,2,1,336,32,900,529,7,47,79,175,28
29,NEAMŢ,"SCOALA GIMNAZIALA BALUSESTI",316,ICUŞEŞTI,123013,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:02",1190,1188,0,2,0,561,559,0,2,0,528,33,1300,739,22,51,162,277,16
29,NEAMŢ,"SCOALA GIMNAZIALA ICUSESTI",314,ICUŞEŞTI,123013,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:52:50",625,624,0,0,1,273,272,0,0,1,254,19,700,427,4,37,42,167,4
29,NEAMŢ,"SCOALA PRIMARA MESTEACAN",317,ICUŞEŞTI,123013,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:01",433,429,1,3,0,234,231,0,3,0,222,12,500,266,0,19,84,111,8
29,NEAMŢ,"SCOALA PRIMARA ROCNA",318,ICUŞEŞTI,123013,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:29",445,436,0,7,2,232,223,0,7,2,222,10,500,268,1,13,28,176,4
29,NEAMŢ,"SCOALA PRIMARA SPIRIDONESTI",319,ICUŞEŞTI,123013,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:45:03",168,162,0,6,0,87,81,0,6,0,80,7,200,113,0,1,13,64,2
