precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂLĂNESCU ION-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","ILINCA GABRIEL-EUGEN-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SPIRIDON ION-DORU-FORȚA DREPTEI-voturi"
30,OLT,"GRĂDINIŢA MILCOVENI",161,CORBU,126326,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:00:49",367,323,0,28,16,353,309,0,28,16,301,8,368,59,119,176,4,2
30,OLT,"ŞCOALA GIMNAZIALĂ BUZEŞTI",160,CORBU,126326,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:06",502,454,0,24,24,421,373,0,24,24,414,7,574,153,264,142,7,1
30,OLT,"ŞCOALA GIMNAZIALĂ CORBU",159,CORBU,126326,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:42:01",920,842,0,31,47,578,500,0,31,47,562,16,1053,425,215,336,8,3
