precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CATRINOIU-NEBANCEA VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","PÎRJOL CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CÎRLIGERU-NĂSTASIE NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MIŞCODAN FLORIN-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"CĂMINUL CULTURAL COVRIGI",331,VĂGIULEŞTI,82779,4,PART,PRCNCT,P,P_SV,"2024-06-10 21:47:30",933,883,0,15,35,653,603,0,15,35,639,14,981,328,54,280,276,29
20,GORJ,"ŞCOALA GENERALĂ NR.1 VÂGIULEŞTI",330,VĂGIULEŞTI,82779,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:14:06",1023,981,0,9,33,722,680,0,9,33,713,9,1100,378,18,332,329,34
