precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","FORȚA DREPTEI-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL",197,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:20:35",244,232,2,9,1,157,146,1,9,1,151,6,250,93,2,72,1,31,9,1,35
22,HUNEDOARA,"CĂMINUL CULTURAL",200,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:29:00",300,293,0,4,3,163,156,0,4,3,158,5,350,187,1,77,1,44,31,0,4
22,HUNEDOARA,"CĂMINUL CULTURAL",196,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:02:21",280,262,0,9,9,186,168,0,9,9,183,3,300,114,9,78,1,54,20,1,20
22,HUNEDOARA,"CĂMINUL CULTURAL",201,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:58:42",167,158,0,5,4,113,104,0,5,4,108,5,200,87,4,47,2,17,37,1,0
22,HUNEDOARA,"CĂMINUL CULTURAL",203,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:58:50",254,250,0,4,0,163,159,0,4,0,158,5,300,137,2,52,1,65,34,0,4
22,HUNEDOARA,"CĂMINUL CULTURAL SÂNTĂMĂRIA DE PIATRĂ",199,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:25",130,118,0,8,4,101,89,0,8,4,100,1,150,49,2,46,2,42,6,1,1
22,HUNEDOARA,"CĂMINUL CULTURAL STREISÎNGEORGIU",202,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:21:55",657,641,0,7,9,419,403,0,7,9,416,3,700,281,13,183,27,127,52,2,12
22,HUNEDOARA,"CASA CĂSĂTORIILOR",193,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:53:31",1292,1272,0,12,8,618,598,0,12,8,601,16,1475,857,28,210,11,218,99,10,25
22,HUNEDOARA,"CENTRUL DE SĂNĂTATE MULTIFUNCŢIONAL",192,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:58:57",1404,1380,2,13,9,748,726,0,13,9,732,16,1500,752,13,278,8,270,114,8,41
22,HUNEDOARA,"CONSILIUL LOCAL CĂLAN",188,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:36:59",1037,1004,7,10,16,574,547,1,10,16,524,50,1100,526,17,277,7,119,76,11,17
22,HUNEDOARA,"LICEU TEHNOLOGIC OVID DENSUŞIANU",191,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:02:32",1486,1467,2,13,4,699,682,0,13,4,675,24,1600,901,26,240,16,208,108,8,69
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ",189,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:20:44",1084,1056,1,20,7,521,494,0,20,7,505,16,1100,579,17,232,11,141,72,11,21
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ",190,"ORAŞ CĂLAN",87424,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:40",1403,1371,1,18,13,643,615,0,18,10,623,20,1500,857,45,222,12,219,83,4,38
22,HUNEDOARA,"ŞCOALA PRIMARĂ",194,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:42:12",483,476,0,5,2,215,208,0,5,2,209,6,500,285,6,86,3,82,26,0,6
22,HUNEDOARA,"ŞCOALA PRIMARĂ",195,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:55",202,192,0,8,2,148,138,0,8,2,143,5,250,102,2,62,1,66,7,0,5
22,HUNEDOARA,"ŞCOALA PRIMARĂ SÎNCRAI",198,"ORAŞ CĂLAN",87424,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:56",255,247,0,5,3,142,134,0,5,3,139,3,300,158,4,67,2,57,8,0,1
