precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BELCINEANU-CARAŞ MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IACOB ŞTEFAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","DUMITRU IONUŢ-GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MUNGIU GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","ROŞU IONUŢ-FABIAN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
17,DOLJ,"SCOALA GENERALA CIUPERCENII NOI",312,"CIUPERCENII NOI",71858,3,PART,PRCNCT,P,P_SV,"2024-06-10 12:40:09",1793,1757,1,5,30,911,876,0,5,30,886,25,1900,989,46,81,39,667,53
17,DOLJ,"SCOALA GENERALA SMÎRDAN",313,"CIUPERCENII NOI",71858,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:41",986,966,3,5,12,485,467,1,5,12,469,16,1100,615,56,20,16,367,10
17,DOLJ,"ȘCOALA GIMNAZIALĂ ”NICOLAE CARAȘ ”",311,"CIUPERCENII NOI",71858,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:26:42",1497,1451,0,3,43,837,791,0,3,43,794,39,1629,796,35,57,28,640,34
