precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RĂDULESCU GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","VOICU LICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi"
12,CĂLĂRAŞI,"GRĂDINIŢA ALBĂ CA ZĂPADA",157,INDEPENDENŢA,93771,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:24:12",643,635,1,1,6,398,391,0,1,6,378,19,690,293,228,150
12,CĂLĂRAŞI,"GRADINITA DE COPII",158,INDEPENDENŢA,93771,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:19",450,441,0,6,3,289,280,0,6,3,283,6,471,182,128,155
12,CĂLĂRAŞI,"GRADINITA DE COPII",156,INDEPENDENŢA,93771,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:03:54",1760,1699,1,21,39,1277,1219,0,21,37,1249,28,1920,643,701,548
