precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BLEHUIU EUGEN-PARTIDUL NAȚIONAL LIBERAL-voturi","NEAGOE CONSTANTIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","CALOTĂ GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GUGUŞTEA DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL",533,VERBIŢA,74705,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:41",385,367,0,7,11,256,238,0,7,11,237,13,400,150,58,3,64,112
17,DOLJ,"ŞCOALA GIMNAZIALĂ",532,VERBIŢA,74705,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:35:55",649,623,0,10,16,382,356,0,10,16,351,31,712,330,81,10,36,224
