precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP GHEORGHE-ALIANȚA ELECTORALĂ PSD PNL-voturi","LUNGU OCTAVIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STAN BOGDAN-RAUL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL BAZOŞU NOU",345,BUCOVĂŢ,159516,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:25:55",540,515,0,25,0,385,360,0,25,0,382,3,600,215,308,28,46
37,TIMIŞ,"CĂMINUL CULTURAL BUCOVĂŢ",344,BUCOVĂŢ,159516,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:47:12",1863,1785,6,58,14,1263,1189,2,58,14,1235,25,1890,630,752,64,419
