precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANŢERU DORIN-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","GÎDOIU VASILE-DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SÎIULESCU ELENA-PARTIDUL NAȚIONAL LIBERAL-voturi"
3,ARGEŞ,"CĂMIN CULTURAL BURLUŞI",296,CIOFRÂNGENI,15493,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:06:03",366,348,0,5,13,203,185,0,5,13,199,4,389,186,158,4,37
3,ARGEŞ,"CĂMIN CULTURAL CIOFRÎNGENI",295,CIOFRÂNGENI,15493,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:45:56",1007,988,0,1,18,583,564,0,1,18,566,17,1097,514,459,38,69
3,ARGEŞ,"CĂMINUL CULTURAL LACURILE",297,CIOFRÂNGENI,15493,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:12:03",500,485,0,4,11,327,312,0,4,11,314,11,552,227,272,9,33
