precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FODOR VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","IANC LUCICA-CALINA-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"PRIMĂRIA NĂPRADEA",233,NĂPRADEA,142177,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:40:10",622,592,1,6,23,411,383,1,6,21,403,8,679,268,284,119
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ”PETRE HOSSU”",234,NĂPRADEA,142177,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:21:23",724,702,1,9,12,471,450,0,9,12,462,9,758,287,116,346
33,SĂLAJ,"ŞCOALA SOMEŞ GURUSLĂU",235,NĂPRADEA,142177,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:43",356,348,0,8,0,214,206,0,8,0,207,7,390,176,95,112
33,SĂLAJ,"ŞCOALA TRANIŞ",236,NĂPRADEA,142177,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:29",269,269,0,0,0,152,152,0,0,0,147,5,300,148,75,72
33,SĂLAJ,"ŞCOALA VĂDURELE",237,NĂPRADEA,142177,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:24:23",159,159,0,0,0,132,132,0,0,0,131,1,190,58,57,74
