precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VĂCARU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","BRATU CĂTĂLIN-MIHAIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŢÎRU DANIEL-BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"SCOALA GIMNAZIALA ANGHEL MARES - LOCAL GRADINITA GOSTINU",145,GOSTINU,103354,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:00:57",680,638,0,26,16,496,454,0,26,16,483,13,718,222,394,6,83
19,GIURGIU,"SCOALA GIMNAZIALA ANGHEL MARES- LOCAL GRADINITA GOSTINU",146,GOSTINU,103354,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:46:16",759,709,0,21,29,522,472,0,21,29,509,13,814,292,418,4,87
