precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOBONETE NICULIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","NICOLAESCU MIHAELA-UNIUNEA SALVAȚI ROMÂNIA-voturi","MUNTEANU MIHAELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BARZĂ VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","VASILE MARIAN-PARTIDUL PRO ROMÂNIA-voturi","POPA CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL GÎRCOV",207,GÂRCOV,125588,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:12:24",1210,1154,0,8,48,828,772,0,8,48,803,25,1275,447,470,196,12,98,22,5
30,OLT,"ŞCOALA GENERALĂ URSA",208,GÂRCOV,125588,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:11:39",670,641,0,5,24,427,398,0,5,24,416,11,709,282,118,73,9,168,8,40
