precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COMUNITATEA RUȘILOR LIPOVENI DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","DEI IACOB-voturi"
38,TULCEA,"ŞCOALA GIMNAZIALĂ CARCALIU",87,CARCALIU,159945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:53:16",1113,1071,0,15,27,471,429,0,15,27,431,22,1183,730,88,124,169,38,7,5
38,TULCEA,"ŞCOALA GIMNAZIALĂ CARCALIU",86,CARCALIU,159945,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:12:12",1326,1274,3,19,30,527,478,0,19,30,488,39,1442,915,77,170,201,29,3,8
