precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VLADU LEON-VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","TUDOR DOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","MIHAI BOGDAN-CONSTANTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CÎRSTEA SIMONEL-SILVIU-PARTIDUL S.O.S. ROMÂNIA-voturi","STROIE CLAUDIU MARIN-voturi"
30,OLT,"GRADINITA FARCASELE",197,FĂRCAŞELE,127019,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:04",947,934,0,3,10,557,544,0,3,10,534,23,1071,514,226,144,14,36,114
30,OLT,"GRADINITA FARCASU DE JOS",198,FĂRCAŞELE,127019,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:32",1410,1392,1,2,15,863,846,0,2,15,824,39,1591,728,455,255,9,21,84
30,OLT,"SCOALA GIMNAZIALA FARCASELE",199,FĂRCAŞELE,127019,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:39",685,676,1,1,7,396,389,0,1,6,383,13,791,395,224,106,16,9,28
30,OLT,"SCOALA GIMNAZIALA HOTARANI",200,FĂRCAŞELE,127019,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:49",669,655,1,4,9,394,381,0,4,9,386,8,772,378,228,111,11,19,17
