precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RÎMBU VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","AXINTE CĂTĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","HARŞOVSCHI LUCIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","HARASIM CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","NEŞCULESCU ANDREI-IONUŢ-PARTIDUL S.O.S. ROMÂNIA-voturi","ANDRONACHE MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MUNTEANU TEODORA-voturi"
35,SUCEAVA,"AGENTIA PENTRU PROTECTIA MEDIULUI",34,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,P,P_SV,"2024-06-10 21:27:53",1893,1883,1,9,0,930,921,0,9,0,915,15,2100,1170,409,88,221,5,18,159,15
35,SUCEAVA,"ATELIER ZONĂ CFR",43,"MUNICIPIUL SUCEAVA",146263,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:44",1549,1537,0,12,0,432,420,0,12,0,423,9,1700,1268,147,51,134,2,20,61,8
35,SUCEAVA,"CENTRUL CULTURAL BUCOVINA",6,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:36:43",1548,1537,1,10,0,638,628,0,10,0,615,22,1700,1062,303,47,123,4,12,105,21
35,SUCEAVA,"CENTRUL PENTRU SUSŢINEREA TRADIŢIILOR BUCOVINENE",14,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:04:56",1311,1304,1,6,0,539,533,0,6,0,526,13,1400,861,234,45,128,4,17,88,10
35,SUCEAVA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ SUCEAVA, CORP A",52,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:26:59",1804,1797,0,7,0,707,700,0,7,0,690,17,2000,1293,262,57,225,5,24,106,11
35,SUCEAVA,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ SUCEAVA- CORP B",53,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:35",1660,1654,0,6,0,611,605,0,6,0,602,9,1800,1189,253,43,191,6,18,77,14
35,SUCEAVA,"COLEGIUL DE ARTĂ „CIPRIAN PORUMBESCU” SALA A",9,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:39",1237,1228,1,8,0,310,302,0,8,0,302,8,1400,1090,136,20,81,3,9,46,7
35,SUCEAVA,"COLEGIUL DE ARTĂ „CIPRIAN PORUMBESCU” SALA B",10,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:23:53",1226,1219,0,7,0,534,527,0,7,0,520,14,1300,766,231,47,154,1,11,64,12
35,SUCEAVA,"COLEGIUL ECONOMIC ” DIMITRIE CANTEMIR”",13,"MUNICIPIUL SUCEAVA",146263,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:15:31",1063,1051,3,7,2,497,488,0,7,2,480,17,1200,703,250,29,87,4,9,85,16
35,SUCEAVA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”SPIRU HARET”, SALA A",17,"MUNICIPIUL SUCEAVA",146263,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:34:58",1071,1044,0,6,21,489,462,0,6,21,475,14,1400,911,191,57,109,1,12,95,10
