precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
7,BOTOŞANI,"CENTRUL CULTURAL CORNI",193,CORNI,36756,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:00",1067,1066,1,0,0,516,516,0,0,0,490,26,1210,694,52,322,35,77,4
7,BOTOŞANI,"SCOALA CU CL I-IV BALTA ARSA",194,CORNI,36756,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:39:08",353,348,1,4,0,195,191,0,4,0,177,18,400,205,13,121,11,32,0
7,BOTOŞANI,"SCOALA CU CL I-IV MESTEACAN",195,CORNI,36756,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:05:59",367,365,1,1,0,160,159,0,1,0,149,11,404,244,17,82,18,28,4
7,BOTOŞANI,"SCOALA CU CL I-VIII SARAFINESTI",196,CORNI,36756,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:10",1133,1129,0,4,0,476,472,0,4,0,447,29,1196,720,52,266,41,43,45
7,BOTOŞANI,"SCOALA O. BANCILA",191,CORNI,36756,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:13:44",1284,1283,1,0,0,572,572,0,0,0,545,27,1400,828,59,356,45,79,6
7,BOTOŞANI,"SCOALA O. BANCILA",192,CORNI,36756,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:10",878,875,1,2,0,424,422,0,2,0,407,17,1006,582,34,294,22,48,9
