precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POP PETRICĂ-DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CORODAN VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","RÁKOS RÉKA-UNIUNEA SALVAȚI ROMÂNIA-voturi"
32,"SATU MARE","SCOALA GIMNAZIALA VAMA",330,VAMA,139330,5,PART,PRCNCT,P,P_SV,"2024-06-12 01:31:30",1613,1603,0,5,5,805,795,0,5,5,773,32,1815,1010,189,558,26
32,"SATU MARE","ȘCOALA GIMNAZIALĂ VAMA",329,VAMA,139330,4,PART,PRCNCT,P,P_SV,"2024-06-12 01:47:55",1788,1767,3,14,4,918,900,0,14,4,870,48,1900,982,327,530,13
