precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"EPURAŞ COZMIN-IULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TIPU DĂNUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANTONEAC-MIRON ANDREEA-MIHAELA-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢURCANU PAUL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CAMIN CULTURAL",364,STĂUCENI,35884,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:35:59",1120,1111,0,2,7,578,569,0,2,7,567,11,1217,639,338,65,99,65
7,BOTOŞANI,"SCOALA GENERALA CU CLASELE I-IV",367,STĂUCENI,35884,2,PART,PRCNCT,P,P_SV,"2024-06-11 12:58:09",591,572,1,12,6,325,307,0,12,6,314,11,628,303,228,53,20,13
7,BOTOŞANI,"SCOALA GENERALA CU CLASELE I-IV",365,STĂUCENI,35884,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:43",440,431,0,4,5,277,268,0,4,5,268,9,500,223,220,20,20,8
7,BOTOŞANI,"SCOALA GENERALA CU CLASELE I-VIII PATRIARH TEOCTIST ARAPASU",366,STĂUCENI,35884,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:34",880,861,1,5,13,449,430,1,5,13,415,34,1000,551,283,101,21,10
