precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VIŞĂNOIU MARIN-PARTIDUL SOCIAL DEMOCRAT-voturi","SPĂTARU TUDOREL-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MATEI DORU-MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
36,TELEORMAN,"CLĂDIREA FOSTA ȘCOALĂ GIMNAZIALĂ CIURARI",266,SĂCENI,153972,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:06:11",313,285,0,16,12,233,205,0,16,12,224,9,305,72,76,37,111
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ SĂCENI",265,SĂCENI,153972,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:06",555,515,0,34,6,400,360,0,34,6,383,17,562,162,210,136,37
