precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FORȚA DREPTEI-voturi","NICA GEORGE-FLORIN-voturi"
25,ILFOV,"ŞCOALA DIN SATUL MERII PETCHII",255,NUCI,104421,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:24:49",866,780,0,35,51,696,610,0,35,51,668,28,900,204,239,40,45,301,43
25,ILFOV,"ŞCOALA DIN SATUL MICŞUNEŞTII-MOARĂ",256,NUCI,104421,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:15:14",1445,1308,0,64,73,1139,1002,0,64,73,1100,39,1442,303,595,45,64,372,24
