precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL OAMENILOR TINERI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
23,IALOMIŢA,"CAMINUL CULTURAL COSERENI",134,COŞERENI,102240,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:46",1252,1223,1,18,10,848,820,0,18,10,824,24,1360,512,252,50,322,127,10,20,10,33
23,IALOMIŢA,"GRADINIŢA PĂTRIME",136,COŞERENI,102240,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:14:16",1013,1002,0,6,5,727,716,0,6,5,705,22,1118,391,191,27,269,137,3,28,13,37
23,IALOMIŢA,"ŞCOALA GENERALĂ COSERENI",135,COŞERENI,102240,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:17:09",1250,1229,0,11,10,863,842,0,11,10,840,23,1350,487,212,85,307,141,16,35,12,32
