precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRIFON GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","DOROŞ GEORGEL-GRIGORE-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
32,"SATU MARE","SCOALA GIMNAZIALA ALICENI",307,TÂRŞOLŢ,139143,3,PART,PRCNCT,P,P_SV,"2024-06-11 15:44:30",365,351,0,9,5,144,130,0,9,5,141,3,403,259,11,130
32,"SATU MARE","SCOALA GIMNAZIALA TARSOLT",306,TÂRŞOLŢ,139143,2,PART,PRCNCT,P,P_SV,"2024-06-11 15:34:23",855,842,0,7,6,238,225,0,7,6,225,13,1000,762,87,138
32,"SATU MARE","SCOALA GIMNAZIALA TARSOLT",305,TÂRŞOLŢ,139143,2,PART,PRCNCT,P,P_SV,"2024-06-11 15:27:33",1339,1319,0,8,12,466,446,0,8,12,448,18,1400,934,224,224
