precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","COŞA ANCA-MIHAELA-voturi"
3,ARGEŞ,"AȘEZĂMÂNTUL SOCIAL DE LA PAROHIA MĂRCUȘ",113,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:44",483,475,0,8,0,275,267,0,8,0,268,7,600,325,37,2,10,19,197,0,1,0,2
3,ARGEŞ,"BIBLIOTECA MUNICIPALA ION BARBU - FILIALA GRUI",96,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:41:43",1408,1400,1,7,0,701,694,0,7,0,693,8,1600,899,165,15,51,81,351,7,11,2,10
3,ARGEŞ,"COLEGIUL NAŢIONAL ”DINICU GOLESCU”",114,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:27:01",1192,1176,0,15,1,584,568,0,15,1,567,17,1200,616,131,15,27,68,293,4,12,1,16
3,ARGEŞ,"COLEGIUL NAŢIONAL PEDAGOGIC ”CAROL I”",109,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:16",740,733,0,7,0,378,371,0,7,0,369,9,800,422,87,16,14,56,168,5,10,2,11
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9",93,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:42:43",1561,1547,2,12,0,803,791,0,12,0,783,20,1750,947,145,15,43,70,481,12,7,4,6
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9 - II",94,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:27:19",1464,1451,0,12,1,738,725,0,12,1,724,14,1611,873,128,7,44,74,439,5,14,3,10
3,ARGEŞ,"GRĂDINIȚA CU PROGRAM NORMAL NR. 9 - III",95,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:43",1346,1338,1,7,0,663,656,0,7,0,642,21,1400,737,129,6,54,66,349,12,13,1,12
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - I",102,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:16",1256,1248,0,7,1,548,540,0,7,1,542,6,1400,852,114,4,36,68,298,8,6,3,5
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - II",103,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:33:55",1199,1191,0,8,0,516,508,0,8,0,508,8,1400,884,141,7,27,57,253,8,5,2,8
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SFÂNTA MARINA” - III",104,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:49:08",1491,1481,0,9,1,652,642,0,9,1,628,24,1600,948,132,40,43,64,309,20,10,1,9
3,ARGEŞ,"GRĂDINIȚA NR. 6",110,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:39",914,909,0,5,0,478,473,0,5,0,463,15,1000,522,76,3,28,36,298,5,10,1,6
3,ARGEŞ,"GRĂDINIŢA VALEA ROMÂNEŞTILOR",108,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:05:38",390,384,1,5,0,233,228,0,5,0,228,5,400,167,92,4,11,12,102,5,1,0,1
3,ARGEŞ,"LICEUL TEHNOLOGIC AUTO",111,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:25:04",1103,1093,0,9,1,506,496,0,9,1,482,24,1200,694,115,17,32,45,244,11,5,2,11
3,ARGEŞ,"LICEUL TEORETIC DAN BARBILIAN I",105,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:17",963,957,0,6,0,485,479,0,6,0,472,13,1000,515,123,6,31,73,203,12,17,2,5
3,ARGEŞ,"LICEUL TEORETIC DAN BARBILIAN II",106,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:00:47",1468,1459,0,9,0,527,518,0,9,0,513,14,1600,1064,131,19,43,49,252,7,3,4,5
3,ARGEŞ,"LICEUL TEORETIC DAN BARBILIAN III",107,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:36",1396,1386,1,9,0,666,657,0,9,0,642,24,1600,934,152,6,38,78,334,15,7,0,12
3,ARGEŞ,"S.C. HIDROELECTRICA S.A.",98,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:48:52",936,930,1,5,0,485,480,0,5,0,485,0,1000,515,104,14,34,49,263,8,4,1,8
3,ARGEŞ,"ŞCOALA GENERALĂ NR.4 ”APA SĂRATĂ”",112,"MUNICIPIUL CÂMPULUNG",13490,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:55:00",713,703,0,9,1,312,302,0,9,1,300,12,800,488,65,24,11,25,165,4,4,2,0
3,ARGEŞ,"ŞCOALA GENERALĂ NR. 5",97,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:36",1096,1090,3,3,0,530,526,1,3,0,518,12,1200,670,91,14,43,81,253,11,14,4,7
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”C.D. ARICESCU”",115,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:03:21",828,813,1,7,7,431,417,0,7,7,420,11,1000,569,90,5,24,48,224,11,7,0,11
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ NANU MUSCEL",92,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:17:16",1082,1077,0,5,0,561,556,0,5,0,546,15,1200,639,122,8,43,89,243,6,22,1,12
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”OPREA IORGULESCU” - I",90,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:18:53",703,687,0,14,2,371,355,0,14,2,361,10,800,429,77,5,24,73,153,7,12,3,7
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”OPREA IORGULESCU” - II",91,"MUNICIPIUL CÂMPULUNG",13490,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:02:41",765,760,0,5,0,402,397,0,5,0,392,10,800,398,105,4,26,59,173,7,10,3,5
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”THEODOR AMAN” - I",99,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:36:54",1326,1323,0,3,0,683,680,0,3,0,675,8,1500,817,159,10,50,91,344,8,2,2,9
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”THEODOR AMAN” - II",100,"MUNICIPIUL CÂMPULUNG",13490,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:00:17",1026,1018,0,8,0,477,469,0,8,0,462,15,1200,723,115,4,30,51,231,14,11,1,5
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”THEODOR AMAN” - III",101,"MUNICIPIUL CÂMPULUNG",13490,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:21",1220,1215,0,5,0,498,493,0,5,0,486,12,1400,902,106,6,32,46,274,6,8,3,5
