precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
29,NEAMŢ,"ANEXĂ ȘCOALA NEGREȘTI",183,BIRA,121386,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:36:19",154,148,0,6,0,89,83,0,6,0,85,4,244,155,1,20,62,2
29,NEAMŢ,"CĂMINUL CULTURAL BIRA",182,BIRA,121386,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:20:17",643,624,0,14,5,333,314,0,14,5,311,22,700,367,12,80,195,24
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”ANTONIE MUREȘIANU”- GRĂDINIȚA",184,BIRA,121386,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:32",555,541,0,7,7,320,306,0,7,7,306,14,572,252,17,176,99,14
29,NEAMŢ,"ȘCOALA REDIU 1",185,BIRA,121386,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:40:14",234,224,0,4,6,138,130,0,2,6,129,9,270,132,6,55,55,13
