precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHELARU FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","NICHITA RAFAEL-PARTIDUL NAȚIONAL LIBERAL-voturi","LISTARF ANA-MARIA-UNIUNEA SALVAȚI ROMÂNIA-voturi","AELENEI EVDOCHIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RAD BOGDAN-DANIEL-PARTIDUL ECOLOGIST ROMÂN-voturi","TIMOFEI GHEORGHE-PARTIDUL S.O.S. ROMÂNIA-voturi","MATEI GEANI-PARTIDUL NEAMUL ROMÂNESC-voturi","DUMITRAŞCU COSTEL-AURELIAN-PARTIDUL MIȘCAREA POPULARĂ-voturi","CEABUCA NICOLAE-NARCIS-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
14,CONSTANŢA,"CASA CĂSĂTORIILOR",327,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:08:22",1383,1375,0,7,1,625,617,0,7,1,598,16,1514,900,204,52,47,36,15,33,136,57,18
14,CONSTANŢA,"CASA DE CULTURĂ",329,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:35:12",1627,1619,2,6,0,706,700,0,6,0,691,15,1782,1076,233,103,62,41,6,42,137,43,24
14,CONSTANŢA,"CASA DE CULTURĂ",328,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:09:47",1401,1359,30,10,2,663,651,0,10,2,648,15,1503,840,245,106,57,41,7,27,110,42,13
14,CONSTANŢA,"CENTRUL DE AFACERI NĂVODARI",332,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:31:54",1617,1578,22,17,0,529,512,0,17,0,513,3,1719,1194,151,99,87,41,10,22,68,27,8
14,CONSTANŢA,"CENTRUL DE AFACERI NĂVODARI",333,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,P,P_SV,"2024-06-10 15:37:39",1551,1520,17,14,0,730,716,0,14,0,710,17,1645,918,209,126,124,72,9,31,72,50,17
14,CONSTANŢA,"CLUBUL SINDICATULUI „PETROCHIMISTUL”",324,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:09",1224,1218,1,5,0,555,550,0,5,0,535,20,1346,791,192,78,41,23,5,25,107,58,6
14,CONSTANŢA,"CREȘA NR. 20 NĂVODARI",330,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:32",1528,1515,0,11,2,516,503,0,11,2,494,22,1674,1158,146,40,19,44,7,22,176,32,8
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „VESELIEI”",323,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:07:05",1720,1709,0,10,1,779,768,0,10,1,756,23,1900,1117,198,221,42,43,15,54,132,33,18
14,CONSTANŢA,"GRĂDINIȚA ”PEȘTIȘORUL DE AUR”",309,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:10:02",1441,1429,1,7,4,615,604,0,7,4,586,18,1600,996,177,72,52,25,14,36,135,59,16
14,CONSTANŢA,"LICEUL TEHNOLOGIC „LAZĂR EDELEANU”",312,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:43:37",1596,1585,0,6,5,714,703,0,6,5,683,31,1750,1036,205,56,32,44,11,37,227,59,12
14,CONSTANŢA,"LICEUL TEHNOLOGIC „LAZĂR EDELEANU”",310,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:26:26",1198,1191,0,7,0,556,549,0,7,0,543,13,1313,757,168,79,39,34,6,41,113,56,7
14,CONSTANŢA,"LICEUL TEHNOLOGIC „LAZĂR EDELEANU”",311,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:21:12",1079,1072,0,3,4,474,467,0,3,4,458,16,1185,711,152,75,46,25,4,25,81,41,9
14,CONSTANŢA,"LICEUL TEHNOLOGIC „LAZĂR EDELEANU”",313,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:13",1348,1339,0,9,0,580,571,0,9,0,556,20,1475,899,211,57,38,30,8,22,133,37,20
14,CONSTANŢA,"SALA DE SPORT CU NIVEL DE PRACTICĂ ȘCOLARĂ COMPETIȚIONALĂ LOCALĂ",331,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:38:15",1526,1513,6,7,0,666,659,0,7,0,642,24,1682,1016,191,102,41,38,8,30,137,66,29
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „GEORGE ENESCU”",318,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:28:39",1959,1947,1,10,1,951,940,0,10,1,921,19,2145,1205,337,168,78,30,9,42,158,78,21
