precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GUI CORNEL-VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","LUPEI PETRU-STELIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MORARIU ADRIAN-GHEORGHE-voturi"
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ TEREMIA MARE",576,"TEREMIA MARE",158859,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:37",1126,1117,2,4,3,509,501,1,4,3,492,17,1200,691,361,8,123
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ TEREMIA MARE",577,"TEREMIA MARE",158859,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:33:26",1169,1165,1,1,2,547,544,0,1,2,518,29,1200,653,372,16,130
37,TIMIŞ,"ȘCOALA PRIMARĂ NERĂU",578,"TEREMIA MARE",158859,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:41",920,915,1,4,0,440,435,1,4,0,411,29,1070,630,294,24,93
37,TIMIŞ,"ŞCOALA PRIMARA TEREMIA MICĂ",579,"TEREMIA MARE",158859,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:56:21",568,568,0,0,0,274,274,0,0,0,269,5,700,426,185,8,76
