precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IUGA ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIŞ MARIA-MARIOARA-PARTIDUL NAȚIONAL LIBERAL-voturi","CHINDRIŞ ILEANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IUGA SORIN-PARTIDUL MIȘCAREA POPULARĂ-voturi","VLAD LUPU-DANILĂ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
26,MARAMUREŞ,"CASA DE CULTURĂ",155,"ORAŞ SĂLIŞTEA DE SUS",108892,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:37:53",1559,1543,1,6,9,702,687,0,6,9,669,33,1700,998,432,59,16,91,71
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",156,"ORAŞ SĂLIŞTEA DE SUS",108892,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:25:31",1511,1494,1,12,4,645,629,0,12,4,621,24,1700,1055,397,68,20,100,36
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU” LOCAL CENTRU 2",157,"ORAŞ SĂLIŞTEA DE SUS",108892,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:34",1028,1021,0,7,0,452,445,0,7,0,433,19,1121,669,266,26,34,60,47
