precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi"
24,IAŞI,"ȘCOALA GIMNAZIALĂ HĂRMĂNEȘTII VECHI",489,HĂRMĂNEŞTI,100326,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:49:01",1313,1288,0,7,18,720,695,0,7,18,698,20,1482,764,239,146,10,303
24,IAŞI,"ŞCOALA HĂRMĂNEŞTII NOI",490,HĂRMĂNEŞTI,100326,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:41:29",768,755,0,9,4,389,376,0,9,4,382,7,800,411,237,33,30,82
