precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAKKAI MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","STOIAN CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ISTRATE MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","IORGA COSTEL-PARTIDUL S.O.S. ROMÂNIA-voturi","GORECI MARCEL-PARTIDUL ADEVĂR, DEMOCRAȚIE, EDUCAȚIE, RECONSTRUCȚIE-voturi"
14,CONSTANŢA,"CĂMIN CULTURAL PECINEAGA",517,PECINEAGA,62672,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:34:13",1365,1345,3,2,15,765,748,0,2,15,747,18,1481,716,557,100,22,30,38
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR.1 PECINEAGA",518,PECINEAGA,62672,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:09",1434,1413,0,10,11,803,782,0,10,11,788,15,1413,610,597,120,18,24,29
