precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂBAN COSMIN-ION-PARTIDUL SOCIAL DEMOCRAT-voturi","BUJIU IOSIF-PARTIDUL NAȚIONAL LIBERAL-voturi","LĂRGEANU DANIEL-UNIUNEA SALVAȚI ROMÂNIA-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ MUŞETEŞTI",253,MUŞETEŞTI,80908,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:13",444,427,0,11,6,332,315,0,11,6,322,10,500,168,230,91,1
20,GORJ,"ȘCOALA GIMNAZIALĂ MUȘETEȘTI",252,MUŞETEŞTI,80908,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:05",680,638,0,17,25,542,500,0,17,25,536,6,700,158,353,173,10
20,GORJ,"ŞCOALA PRIMARĂ LARGA",254,MUŞETEŞTI,80908,2,PART,PRCNCT,P,P_SV,"2024-06-11 21:18:56",475,453,1,10,11,367,346,0,10,11,364,3,529,162,259,101,4
