precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
14,CONSTANŢA,"ȘCOALA GIMNAZIALA NR 1 SALIGNY",529,SALIGNY,63318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:14",683,681,0,2,0,368,366,0,2,0,349,19,756,388,294,31,24
14,CONSTANŢA,"SCOALA PRIMARA NR 2 FACLIA",530,SALIGNY,63318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:13:21",715,714,1,0,0,296,295,1,0,0,282,14,784,488,211,47,24
14,CONSTANŢA,"ȘCOALA PRIMARA NR 3 STEFAN CEL MARE",531,SALIGNY,63318,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:46",472,467,0,5,0,219,214,0,5,0,212,7,514,295,156,23,33
