precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL VERDE-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CIOFÎCĂ ION-MARIAN-voturi"
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",32,"MUNICIPIUL TÂRGU JIU",77812,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:22:59",1506,1501,0,5,0,766,761,0,5,0,755,11,1600,829,240,248,76,7,45,33,54,13,4,7,28
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",33,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:52:09",1278,1261,10,7,0,636,629,0,7,0,623,13,1400,764,182,179,62,9,56,12,90,5,9,3,16
20,GORJ,"COLEGIUL ECONOMIC VIRGIL MADGEARU",31,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:47",1662,1652,2,8,0,786,778,0,8,0,754,24,1800,1022,238,242,71,10,29,37,83,5,6,7,26
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",27,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:03",1456,1451,0,5,0,555,550,0,5,0,532,11,1600,1057,197,160,47,13,33,12,32,4,5,5,24
20,GORJ,"COLEGIUL NAŢIONAL ECATERINA TEODOROIU",28,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:27:44",1361,1355,1,4,1,555,550,0,4,1,547,8,1500,945,234,132,56,7,37,15,32,5,2,6,21
20,GORJ,"COLEGIUL NAȚIONAL ECATERINA TEODOROIU",26,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:04:02",1368,1361,0,7,0,569,562,0,7,0,554,15,1500,931,225,147,57,8,36,16,28,5,4,7,21
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",13,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:34:05",1037,1031,0,6,0,492,486,0,6,0,475,17,1200,708,179,123,65,8,23,15,37,1,3,4,17
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",12,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:58",1275,1266,2,7,0,561,554,0,7,0,542,19,1400,839,191,148,66,8,23,18,56,2,4,7,19
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",10,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:49",938,933,0,5,0,461,456,0,5,0,449,12,1100,639,153,139,45,4,31,14,33,3,2,5,20
20,GORJ,"COLEGIUL NAŢIONAL SPIRU HARET",11,"MUNICIPIUL TÂRGU JIU",77812,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:53:29",1407,1403,0,4,0,588,584,0,4,0,575,13,1600,1012,192,172,54,8,36,21,47,2,9,8,26
