precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
13,CLUJ,"CĂMINUL CULTURAL",587,PLOSCOŞ,58990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:19:59",352,326,0,16,10,247,221,0,16,10,228,19,354,107,85,31,33,40,39
13,CLUJ,"ŞCOALA CU CLASELE I-IV",588,PLOSCOŞ,58990,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:33",211,208,0,0,3,150,147,0,0,3,145,5,231,81,53,25,11,39,17
