precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STROE CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PRISICEANU CONSTANTIN-CORNEL-PARTIDUL NAȚIONAL LIBERAL-voturi","COROIAN ELENA-ALINA-ALEXANDRA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"CĂMIN CULTURAL ŞOTÂNGA",380,ŞOTÂNGA,65477,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:47",1102,1095,1,6,0,539,533,0,6,0,524,15,1210,671,435,56,33
16,DÂMBOVIŢA,"CĂMIN CULTURAL TEIŞ",383,ŞOTÂNGA,65477,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:07",1201,1196,0,5,0,547,542,0,5,0,530,17,1320,773,470,27,33
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ NR. 2",381,ŞOTÂNGA,65477,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:02:16",1089,1085,1,3,0,465,462,0,3,0,448,17,1190,725,366,46,36
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”PROFESOR ILIE POPESCU”",379,ŞOTÂNGA,65477,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:38",1440,1439,0,1,0,710,709,0,1,0,694,16,1595,885,597,52,45
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”TEIUL DOAMNEI” - CORP B",382,ŞOTÂNGA,65477,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:50:55",819,819,0,0,0,378,378,0,0,0,364,14,910,532,290,38,36
