precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BERAR ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BERAR PAMFIL-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"ŞCOALA CU CLASELE I-IV",66,AGRIJ,139937,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:03:30",313,272,0,31,10,232,191,0,31,10,226,6,320,88,160,66
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ NR.1 AGRIJ",65,AGRIJ,139937,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:24",894,837,1,24,32,600,543,1,24,32,588,12,872,272,388,200
