precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IORDACHE CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ODOROG CLAUDIA-MARIANA-PARTIDUL SOCIAL DEMOCRAT-voturi"
12,CĂLĂRAŞI,"ȘCOALA GENERALA NR.1",204,SOHATU,105222,3,PART,PRCNCT,P,P_SV,"2024-06-11 14:18:26",1160,1121,0,14,25,780,741,0,14,25,736,44,1228,448,367,369
12,CĂLĂRAŞI,"ȘCOALA GENERALA NR.2",205,SOHATU,105222,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:26",707,671,0,31,5,516,480,0,31,5,500,16,744,228,354,146
