precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIUCIURA LIVIU-IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","OLAR LEON-GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MACA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BORCEA DĂNUŢ-PARTIDUL PRO ROMÂNIA-voturi","GÂRBACEA TEOFIL-PARTIDUL ECOLOGIST ROMÂN-voturi"
34,SIBIU,"LICEUL TEHNOLOGIC IACOBENI",278,IACOBENI,144651,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:56:58",912,911,0,0,1,541,540,0,0,1,511,30,1000,459,217,16,213,49,16
34,SIBIU,"ȘCOALA GIMNAZIALĂ NOIȘTAT",281,IACOBENI,144651,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:16:27",458,457,0,1,0,202,201,0,1,0,189,13,500,285,44,0,144,0,1
34,SIBIU,"ȘCOALA PRIMARĂ MOVILE",279,IACOBENI,144651,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:37:05",272,270,1,1,0,136,134,1,1,0,132,4,300,164,28,2,99,0,3
34,SIBIU,"ȘCOALA PRIMARĂ NETUȘ",280,IACOBENI,144651,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:34:57",409,407,0,2,0,225,223,0,2,0,210,15,454,229,36,15,155,4,0
34,SIBIU,"ȘCOALA PRIMARĂ STEJĂRIȘU",282,IACOBENI,144651,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:20:55",418,415,3,0,0,180,180,0,0,0,177,3,450,270,102,8,45,19,3
