precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BURDE IOAN-SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MICLĂUŞ GELU-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",429,"VALEA CHIOARULUI",109354,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:42",539,484,1,38,16,403,348,1,38,16,399,4,550,147,187,212
26,MARAMUREŞ,"CĂMINUL CULTURAL",434,"VALEA CHIOARULUI",109354,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:04",246,186,1,48,11,205,145,1,48,11,200,5,220,15,127,73
26,MARAMUREŞ,"CĂMINUL CULTURAL",430,"VALEA CHIOARULUI",109354,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:15",268,206,0,52,10,224,162,0,52,10,215,9,245,21,119,96
26,MARAMUREŞ,"CĂMINUL CULTURAL",431,"VALEA CHIOARULUI",109354,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:37",82,51,0,28,3,65,34,0,28,3,62,3,77,12,50,12
26,MARAMUREŞ,"ȘCOALA GENERALĂ",433,"VALEA CHIOARULUI",109354,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:10:47",310,270,0,34,6,242,202,0,34,6,230,12,314,72,86,144
26,MARAMUREŞ,"ȘCOALA GENERALĂ",432,"VALEA CHIOARULUI",109354,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:57",416,348,0,58,10,325,257,0,58,10,316,9,392,67,289,27
