precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PÂTEA MARIAN-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
8,BRAŞOV,"ŞCOALA GENERALĂ FUNDATA",347,FUNDATA,40991,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:29",435,383,1,25,26,359,308,0,25,26,323,36,456,97,323
8,BRAŞOV,"ŞCOALA GENERALĂ ŞIRNEA",348,FUNDATA,40991,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:04:15",195,170,0,18,7,142,117,0,18,7,140,2,200,58,140
