precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
7,BOTOŞANI,"CĂMINUL CULTURAL",357,ROMÂNEŞTI,38848,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:54:54",1091,1020,1,16,54,692,621,1,16,54,653,39,1200,508,61,72,204,316
7,BOTOŞANI,"SCOALA PRIMARĂ NR 1",358,ROMÂNEŞTI,38848,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:02",487,468,0,6,13,266,247,0,6,13,246,20,501,235,6,13,88,139
