precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"GRADINITA CU PROGRAM NORMAL POIANA",334,NEGREŞTI,125169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:23:00",312,295,0,7,10,178,161,0,7,10,172,6,400,222,29,25,78,20,18,2
29,NEAMŢ,"SCOALA GIMNAZIALA ”DUMITRU ALMAS” NEGRESTI",333,NEGREŞTI,125169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:09:59",1140,1096,1,18,25,645,602,0,18,25,613,30,1200,557,131,139,209,125,5,4
