precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SĂLCIANU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BARBU IONEL-VALENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BARBU FĂNICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi"
23,IALOMIŢA,"SALA DE SPORT DE LÂNGĂ PRIMARIA COMUNEI ADÂNCATA",89,ADÂNCATA,100754,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:57:17",1380,1275,0,71,34,1001,896,0,71,34,987,14,1450,449,34,565,388
23,IALOMIŢA,"ŞCOALA GENERALĂ ADÂNCATA",90,ADÂNCATA,100754,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:51",579,548,0,28,3,374,343,0,28,3,357,17,602,228,44,255,58
